"nombre";"alineación politica";"Fecha de disolución";"Fecha de fundación";"ciudad sede";"división administrativa sede";"país sede";"continente sede";"País";"continente";"Sitio web";"Número de miembros";"nombre corto"
"Partido Roldosista Ecuatoriano";"";"07/03/2014";"12/1982";"Guayaquil";"Provincia del Guayas";"Ecuador";"América";"Ecuador";"América";"www.dalobucaram.com";"";""
"Izquierda Democrática (Ecuador)";"";"2013";"1970";"Quito";"Pichincha";"Ecuador";"América";"Ecuador";"América";"http://izquierdademocratica.com/";"";""
"Movimiento Concertación";"";"2012";"2007";"Quito";"Pichincha";"Ecuador";"América";"Ecuador";"América";"http://www.concertacion.org/";"";""
"Ruptura 25";"";"07/03/2014";"09/12/2004";"Quito";"Pichincha";"Ecuador";"América";"Ecuador";"América";"www.ruptura25.org";"";""
"Partido Social Cristiano (Ecuador)";"";"";"1951";"Quito";"Pichincha";"Ecuador";"América";"Ecuador";"América";"http://la6.ec";"";""
"Partido Socialista Ecuatoriano";"";"";"1926";"Quito";"Pichincha";"Ecuador";"América";"Ecuador";"América";"http://psfaecuador.org";"";""
"Acuerdo Nacional por el Cambio";"Izquierda política";"2017";"05/10/2016";"Quito";"Pichincha";"Ecuador";"América";"Ecuador";"América";"http://pacomoncayo.com/";"";""
"Adelante Ecuatoriano Adelante";"";"";"08/03/2016";"Guayaquil";"Provincia del Guayas";"Ecuador";"América";"Ecuador";"América";"http://www.adelanteecuatorianoadelante.com/";"";""
"Movimiento Popular Democrático";"Izquierda política";"07/03/2014";"03/17/1978";"Quito";"Pichincha";"Ecuador";"América";"Ecuador";"América";"http://www.mpd15.org.ec/";"";""
"Partido Liberal Radical Ecuatoriano";"";"1978 After, Late";"1878";"Quito";"Pichincha";"Ecuador";"América";"Ecuador";"América";"";"";""
"Red Ética y Democracia";"";"2013";"2005";"Quito";"Pichincha";"Ecuador";"América";"Ecuador";"América";"";"";""
"Partido Renovador Institucional Acción Nacional";"";"07/03/2014";"04/09/2002";"Guayaquil";"Provincia del Guayas";"Ecuador";"América";"Ecuador";"América";"http://www.alvaronoboaprian.com/";"";""
"Juventud Comunista del Ecuador";"";"";"08/27/1929";"Quito";"Pichincha";"Ecuador";"América";"Ecuador";"América";"http://www.pcecuador.org";"";""
"Partido Comunista Marxista Leninista del Ecuador";"";"";"08/01/1964";"Quito";"Pichincha";"Ecuador";"América";"Ecuador";"América";"http://www.pcmle.org/";"";""
"Movimiento Fuerza Ciudadana";"";"2007";"1997";"Guayaquil";"Provincia del Guayas";"Ecuador";"América";"Ecuador";"América";"";"";""
"Una Nueva Opción";"";"2013";"2006";"Guayaquil";"Provincia del Guayas";"Ecuador";"América";"Ecuador";"América";"";"";""
"Frente Radical Alfarista";"";"2007";"1972";"Quito";"Pichincha";"Ecuador";"América";"Ecuador";"América";"";"";""
"Unión Demócrata Cristiana (Ecuador)";"Centroderecha política";"2013";"1977";"Quito";"Pichincha";"Ecuador";"América";"Ecuador";"América";"http://www.udc.com.ec";"";""
"Partido Comunista del Ecuador";"";"";"1926";"Quito";"Pichincha";"Ecuador";"América";"Ecuador";"América";"http://pcecuador.org";"";""
"Concentración de Fuerzas Populares";"";"2012";"1949";"Guayaquil";"Provincia del Guayas";"Ecuador";"América";"Ecuador";"América";"";"";""
"Partido Conservador Ecuatoriano";"Derecha política";"1977";"1869";"Quito";"Pichincha";"Ecuador";"América";"Ecuador";"América";"";"";""
"Movimiento CREO";"Derecha política";"";"01/2012";"Guayaquil";"Provincia del Guayas";"Ecuador";"América";"Ecuador";"América";"www.creo.com.ec";"";""
"Alianza País";"";"";"02/19/2006";"Quito";"Pichincha";"Ecuador";"América";"Ecuador";"América";"http://www.movimientoalianzapais.com.ec/";"";""
"Partido Sociedad Patriótica 21 de Enero";"";"";"03/04/2002";"Quito";"Pichincha";"Ecuador";"América";"Ecuador";"América";"http://partidosociedadpatriotica.com/";"";""
"Movimiento Centro Democrático";"";"";"2012";"Guayaquil";"Provincia del Guayas";"Ecuador";"América";"Ecuador";"América";"https://www.centrodemocratico.org/";"";""
"Fuerza Ecuador";"";"";"2015";"Guayaquil";"Provincia del Guayas";"Ecuador";"América";"Ecuador";"América";"http://fuerza.ec";"";""
"Movimiento SUMA";"";"";"2012";"Quito";"Pichincha";"Ecuador";"América";"Ecuador";"América";"http://suma.ec";"";""
"Unidad Popular (Ecuador)";"";"";"09/27/2014";"Quito";"Pichincha";"Ecuador";"América";"Ecuador";"América";"";"";""
"La Unidad";"";"10/31/2016";"2015";"";"";"Ecuador";"";"Ecuador";"";"";"";""
"Movimiento Político Alfaro Vive Carajo";"";"";"09/11/2014";"";"";"Ecuador";"";"Ecuador";"";"";"";""
"Frente UNIDOS";"";"";"09/18/2014";"Quito";"Pichincha";"Ecuador";"América";"Ecuador";"América";"";"";""
"Unidad Plurinacional de las Izquierdas";"";"2014";"2011";"";"";"Ecuador";"";"Ecuador";"";"";"";""
"Movimiento Cívico Madera de Guerrero";"";"";"2009";"Guayaquil";"Provincia del Guayas";"Ecuador";"América";"Ecuador";"América";"";"";""
"Pachakutik";"";"";"06/1995";"Quito";"Pichincha";"Ecuador";"América";"Ecuador";"América";"http://pachakutik.org/";"";""
"Alianza por el Cambio (Ecuador)";"";"07/06/2017";"10/29/2016";"Guayaquil";"Provincia del Guayas";"Ecuador";"América";"Ecuador";"América";"";"";""
